id,salary_cents,bonus_cents,hours_per_week,age
1,367057,50974,54,53
2,392701,89099,53,30
3,211582,12626,49,44
4,460954,65828,39,30
5,294356,30164,23,45
6,380210,93805,56,57
7,290423,91642,37,30
8,100328,35659,42,36
9,146681,10067,33,40
10,415440,85869,33,38
11,248130,73858,55,48
12,427794,43510,32,52
13,102085,98717,57,67
14,230709,35228,44,65
15,106784,31310,23,57
16,129001,24913,28,65
17,390848,97732,41,44
18,89015,1630,49,40
19,241930,59875,46,62
20,52826,40310,21,30
21,353682,72485,34,23
22,51157,76364,51,62
23,271080,14333,33,22
24,270671,23245,57,57
25,223881,78179,39,42
26,232846,71932,54,40
27,439230,69702,25,34
28,229880,68064,20,48
29,69893,89567,43,57
30,167312,72933,46,56
31,319913,52523,35,60
32,438694,71415,46,46
33,467406,32373,55,28
34,150498,90390,44,32
35,264495,67924,57,37
36,50686,39021,51,42
37,429428,73572,55,40
38,99238,3948,46,38
39,485710,83579,29,68
40,85880,54330,28,38
41,199316,73349,23,36
42,268391,20371,50,32
43,373225,20661,56,60
44,103949,26544,44,34
45,286210,70528,21,47
46,319539,86063,46,25
47,155044,22104,21,25
48,91986,89057,41,33
49,342446,68674,49,27
50,487205,70018,22,53
51,333095,21399,23,26
52,149648,43373,51,32
53,228913,79304,34,19
54,126628,30560,40,42
55,77463,29936,44,37
56,51039,93160,28,26
57,310147,77637,20,59
58,320623,29648,58,47
59,358250,3731,23,64
60,51636,98396,53,52
61,369175,93439,42,24
62,89402,99100,51,44
63,455033,42464,25,29
64,62611,7072,35,60
65,394313,42543,34,18
66,414072,36135,32,30
67,129964,27184,32,18
68,160435,68320,30,47
69,496707,67143,50,35
70,388654,23540,48,56
71,461020,44411,44,51
72,202414,60372,31,64
73,488301,51042,31,34
74,470046,81345,58,59
75,246608,36894,49,67
76,278915,40170,54,67
77,479595,87557,37,46
78,359883,46892,49,69
79,158179,97625,42,35
80,394628,34203,52,24
81,347010,42381,39,22
82,189176,2925,55,20
83,106603,19750,40,50
84,324621,22807,27,48
85,164665,59518,32,21
86,411812,85459,29,24
87,58584,86084,38,18
88,302728,15070,42,21
89,433451,79956,29,24
90,127425,66896,47,30
91,219036,46876,25,50
92,115670,97938,57,44
93,283183,81454,39,60
94,211310,40723,46,52
95,345334,46431,38,41
96,398098,9061,39,65
97,68315,41963,39,58
98,129031,83724,37,53
99,67722,42563,35,47
100,441992,30904,46,41
101,450419,98822,55,25
102,79310,36646,30,43
103,369871,43337,57,44
104,232265,89809,41,41
105,135690,45672,41,42
106,159718,80221,30,19
107,78155,33937,53,19
108,342766,11379,54,56
109,408462,10007,25,30
110,134979,55850,36,25
111,128285,62347,40,56
112,376914,58057,46,52
113,270486,57452,51,44
114,286515,47119,20,35
115,398642,83386,48,55
116,277097,89904,52,50
117,105854,70261,21,53
118,154269,88161,45,24
119,378046,55945,56,51
120,164869,26206,43,59
121,113561,77992,28,25
122,88114,65894,32,67
123,245912,19411,32,47
124,493804,30100,23,19
125,473283,1752,50,63
126,317841,38723,59,51
127,359186,15565,32,51
128,452621,10465,26,21
129,215535,61306,55,33
130,260117,73230,30,66
131,242221,51636,53,62
132,168030,20498,26,29
133,102485,27157,20,59
134,292579,73440,45,59
135,246894,86023,35,68
136,376298,2477,46,25
137,494418,38869,34,30
138,236060,25565,59,23
139,231493,42510,47,53
140,153455,58533,52,53
141,433194,76054,32,38
142,220443,80816,25,50
143,234767,6716,57,42
144,69962,21106,40,26
145,263638,16347,42,69
146,435649,78827,59,63
147,179392,25543,20,58
148,270309,73284,23,24
149,408615,6419,26,25
150,415658,23759,29,62
151,92702,34961,54,62
152,434168,42735,49,56
153,337740,73469,45,51
154,357759,94961,47,30
155,411181,47710,51,21
156,483613,16057,21,68
157,399023,85765,34,41
158,459344,1750,59,48
159,96806,24626,25,24
160,434816,41440,49,30
161,60274,36508,30,32
162,142014,23650,24,20
163,358114,6909,46,24
164,187339,43961,56,67
165,129174,43108,30,54
166,378239,82721,56,47
167,220615,32146,55,52
168,206488,32039,28,19
169,57705,20272,44,29
170,372895,69816,58,57
171,286906,91978,58,29
172,399733,34180,52,64
173,221157,95277,36,65
174,297356,92201,53,44
175,226001,60522,49,31
176,127211,92508,49,62
177,482355,43035,24,59
178,471085,65521,34,26
179,355050,74705,52,27
180,330194,13639,45,66
181,183875,89514,38,52
182,169637,94887,54,27
183,225314,10208,31,45
184,488763,78403,52,20
185,227748,70643,51,22
186,75489,51914,57,24
187,425345,41117,56,59
188,401703,33564,33,36
189,247313,91836,54,32
190,487051,71472,47,39
191,489437,89195,45,23
192,370755,74730,53,62
193,153284,4089,42,69
194,465868,25767,32,46
195,141921,19329,59,24
196,305787,96213,39,69
197,265449,96238,49,35
198,208720,58855,45,40
199,162399,67448,28,32
200,290734,60793,48,29
201,291966,9679,23,39
202,209534,80711,47,60
203,442888,39400,26,20
204,340404,5207,38,57
205,356494,22104,48,44
206,464086,52077,50,63
207,483636,11110,38,27
208,159757,11583,27,36
209,60757,75447,32,42
210,56919,14286,21,61
211,316289,90370,58,22
212,421925,27663,54,41
213,402754,73901,33,21
214,132169,4343,58,44
215,452160,66820,46,53
216,325346,5438,50,20
217,88226,45494,33,35
218,102011,22326,47,59
219,91173,73249,24,47
220,467722,36722,20,55
221,361640,68728,44,18
222,328791,517,42,25
223,467351,9681,55,31
224,385709,57838,29,52
225,126514,84319,41,18
226,127714,31760,34,53
227,206749,52953,45,36
228,66948,14220,48,62
229,352284,77646,49,68
230,251463,2763,54,57
231,126095,18957,26,32
232,132390,65475,43,26
233,364607,9337,46,68
234,169165,33597,43,65
235,70351,49703,55,38
236,127522,72119,37,34
237,455542,30084,24,57
238,394301,56342,37,25
239,241629,2076,46,21
240,192405,36256,40,68
241,246889,58328,49,35
242,195605,96666,34,45
243,55456,55717,52,49
244,242456,72029,34,68
245,284287,25111,23,39
246,493242,21433,33,56
247,112268,88685,49,34
248,229238,33439,38,61
249,114037,23150,36,31
250,457204,94951,47,32
251,359564,74832,54,19
252,52113,67782,48,56
253,228380,74426,46,65
254,339663,47600,46,39
255,91461,79995,28,66
256,107370,19308,20,69
257,141804,6628,34,55
258,186285,90834,33,29
259,456782,62501,48,37
260,132028,81149,23,67
261,373911,36941,27,69
262,498157,51992,49,58
263,143803,12179,39,55
264,113289,12635,52,56
265,158133,56045,53,64
266,244385,98662,31,66
267,455739,52723,23,60
268,292422,4638,27,49
269,308930,92852,26,54
270,477785,63833,32,64
271,192734,72298,58,68
272,347547,52583,52,60
273,50008,9603,44,67
274,270317,70674,45,55
275,472401,11825,36,21
276,89254,19051,43,32
277,73737,28245,56,27
278,91665,23919,53,55
279,166858,61423,20,29
280,498803,11512,31,32
281,292503,45497,51,20
282,277645,3491,41,60
283,154034,97377,43,27
284,391957,60362,50,58
285,198097,93511,22,60
286,137140,81845,21,46
287,312688,35912,24,69
288,437927,19139,29,31
289,131496,2790,55,63
290,225072,45714,48,67
291,251019,1431,37,44
292,77094,37367,58,40
293,238415,37679,59,26
294,455892,45147,28,63
295,172300,45770,42,50
296,126038,75543,42,50
