id,salary_cents,bonus_cents,hours_per_week,age
1,436910,23583,34,44
2,83895,5601,35,27
3,82494,63746,45,36
4,346039,76115,40,38
5,279494,3424,52,24
6,286313,94935,32,51
7,231486,50722,56,18
8,417218,22836,35,60
9,441499,4609,25,47
10,74954,15057,21,68
11,484273,90383,35,18
12,422414,64849,27,40
13,109857,31727,33,49
14,158592,91413,37,45
15,483563,58269,45,47
16,106855,82321,21,67
17,62301,69964,20,69
18,115954,62982,47,40
19,139659,35095,21,48
20,139455,8416,31,44
21,193004,65619,42,22
22,286809,13787,22,62
23,429022,51535,22,27
24,225813,19219,41,39
25,225675,24018,43,50
26,223547,12520,56,59
27,213662,22361,22,64
28,447832,16312,31,41
29,420936,40848,35,36
30,352735,33580,24,30
31,332480,10411,49,28
32,54320,92885,57,67
33,356608,56894,59,51
34,305034,69385,39,39
35,110279,42721,51,47
36,472686,2461,43,23
37,222230,63215,22,27
38,291981,57864,50,41
39,394993,43612,25,42
40,185192,19899,25,62
41,298626,75206,21,57
42,284373,38202,54,42
43,420309,93340,37,62
44,400761,49713,45,33
45,245970,37838,49,34
46,301106,32604,51,39
47,291623,98650,27,46
48,412443,30644,47,62
49,244296,78774,34,31
50,113855,20772,29,30
51,352657,71708,54,38
52,394135,54919,21,66
53,463799,66803,55,53
54,467626,12375,51,64
55,78256,98405,26,69
56,493680,78047,25,44
57,129585,71973,45,39
58,338442,4590,25,40
59,363030,85045,43,23
60,55782,60037,42,24
61,294134,63826,22,62
62,196346,4331,40,24
63,124990,9974,37,22
64,87515,79949,52,66
65,246607,76347,45,47
66,181340,98492,34,63
67,305389,38284,48,45
68,285065,42355,44,26
69,467750,23152,53,55
70,71356,69606,55,50
71,139758,86798,28,56
72,182426,28821,27,60
73,54329,45134,27,68
74,305481,63604,51,32
75,211315,81184,44,50
76,208490,19763,30,64
77,86805,88812,58,27
78,159406,31334,20,65
79,142608,68378,24,24
80,55363,43886,26,57
81,51897,6228,27,65
82,152650,58440,57,41
83,60596,18252,20,62
84,495830,94442,54,22
85,109441,73155,44,21
86,386677,95399,52,20
87,182007,66280,44,50
88,149174,41458,37,51
89,475894,40272,37,61
90,404958,95994,27,64
91,196958,20397,36,54
92,415810,86101,26,50
93,96008,56758,30,23
94,52379,4640,20,54
95,366436,33122,23,60
96,121629,25763,21,19
97,92857,54654,55,40
98,369526,51576,43,65
99,328766,59420,40,20
100,95477,95976,20,69
101,453143,45016,48,63
102,259373,16287,46,60
103,251329,1295,50,62
104,320584,18545,39,57
105,290743,9494,50,62
106,474522,34138,38,52
107,234420,80538,20,41
108,238529,32705,44,60
109,262455,72544,51,59
110,349724,90385,24,58
111,331832,65912,40,47
112,432221,7162,52,57
113,55501,85744,22,33
114,303281,39184,40,33
115,78010,91932,57,62
116,108821,59468,44,30
117,404703,93127,54,45
118,268389,93902,54,46
119,293336,25348,20,30
120,437843,29772,58,59
121,141239,4298,36,28
122,443236,42884,38,56
123,92148,1516,57,55
124,329158,4256,31,53
125,417235,73683,43,31
126,313538,15174,51,22
127,229694,52988,51,52
128,195807,53351,54,21
129,285058,24699,26,42
130,170144,68868,20,55
131,75936,99392,49,53
132,121585,93492,41,65
133,139667,36150,22,44
134,150388,71228,28,34
135,170259,95588,31,30
136,186755,5833,54,55
137,404738,56808,41,55
138,318139,74258,36,27
139,440549,88308,33,28
140,67342,8180,32,45
141,153292,67413,29,24
142,168222,95517,27,43
143,66525,39202,35,29
144,82488,57755,51,38
145,272057,93889,33,30
146,446803,65222,30,58
147,106465,47546,59,31
148,404528,99220,51,33
149,64724,81909,38,19
150,467747,95132,36,29
151,149202,2768,24,52
152,307152,45131,46,43
153,377079,56359,56,20
154,226396,25713,55,53
155,200000,75984,27,66
156,402390,17496,57,67
157,423066,4625,51,59
158,403143,88360,45,43
159,75843,96978,36,18
160,212482,34596,20,23
161,171130,17724,56,59
162,343051,43645,38,62
163,292955,49143,51,65
164,113203,78214,27,48
165,411856,74600,24,19
166,132732,26694,52,44
167,201495,72754,52,60
168,337536,99303,51,48
169,52049,41625,31,69
170,353408,16722,29,54
171,495600,82442,44,36
172,101426,38234,46,55
173,253169,28251,29,40
174,456975,34367,28,57
175,121211,11283,22,35
176,355747,54913,47,28
177,393769,32353,33,60
178,322491,14508,50,44
179,342303,48021,23,59
180,453817,14268,53,69
181,498715,11361,57,25
182,395060,13533,42,57
183,198289,94223,59,60
184,235002,86614,34,40
185,111602,64366,20,63
186,356059,39675,23,53
187,355758,37159,21,44
188,99620,78633,54,54
189,175428,16454,36,34
190,449785,48408,57,45
191,133177,12671,58,40
192,450086,30940,53,36
193,424251,40543,43,23
194,435843,34630,49,31
195,88767,54241,53,40
196,117770,19221,26,24
197,81184,17800,27,36
198,494921,51377,24,65
199,153348,30434,58,58
200,87239,28351,31,55
201,430982,51420,31,36
202,194889,98138,23,67
203,339877,16689,27,28
204,275187,9124,55,36
205,444904,205,36,35
206,156133,49823,31,64
207,381934,70369,20,52
208,368279,32651,56,67
209,363822,52869,52,63
210,493480,4473,29,63
211,341771,52761,34,27
212,235948,26547,29,26
213,402151,58027,53,41
214,317091,63315,23,50
215,113678,41860,56,28
216,298580,72880,43,21
217,186041,50482,29,69
218,318491,39240,56,36
219,102971,80610,50,25
220,191892,7908,54,21
221,441631,41309,56,20
222,327428,52793,31,31
223,325030,76762,31,42
224,403101,24028,58,61
225,106015,90840,59,19
226,135302,59863,37,51
227,147674,34117,34,69
228,393040,84942,43,48
229,107788,91932,54,46
230,377078,3314,57,68
231,437670,65533,27,41
232,58752,94360,48,50
233,316128,1972,21,63
234,83498,70435,47,46
235,144832,77256,36,36
236,241843,46118,25,38
237,378078,30365,27,29
238,370982,27235,29,57
239,487274,48802,35,60
240,68581,54887,45,60
241,100539,7945,58,57
242,280865,99547,49,18
243,153765,82147,20,28
244,455864,2397,31,44
245,356777,57040,56,40
246,331122,91280,27,38
247,324068,9118,49,33
248,496051,20923,47,65
249,187276,4208,25,25
250,474352,92526,30,49
251,194547,50860,33,59
252,268069,37503,40,62
253,488898,80165,21,55
254,387657,9732,31,59
255,272249,40596,52,66
256,367418,90420,42,26
257,263985,62153,38,63
258,318208,32947,57,43
259,181498,60765,59,35
260,287796,87368,59,27
261,375962,87510,40,66
262,253956,62254,34,54
263,213759,24490,36,62
264,169610,23806,49,46
265,77975,38236,24,63
266,306133,51709,31,29
267,270543,21779,27,26
268,274596,40182,48,25
269,229806,64353,59,24
270,444490,24157,48,55
271,473497,36333,32,61
272,237894,56148,37,35
273,287151,36928,27,49
274,83543,14868,33,64
275,198913,73358,38,42
276,178752,44677,38,40
277,115971,74002,45,41
278,499560,37968,53,48
279,356231,46206,57,53
280,443156,84881,21,45
281,429469,88160,58,20
282,102864,91567,57,55
283,117778,46035,52,32
284,268784,9772,29,22
285,396576,90052,34,36
286,216149,70873,22,48
287,285783,81447,56,26
288,314108,3781,54,35
289,273262,77206,51,49
290,393054,20581,43,20
291,316769,61487,52,42
292,331667,23472,40,24
293,291126,92435,23,57
294,327486,92355,40,51
295,428063,65085,42,28
296,391766,18923,50,48
297,488606,99777,29,22
298,499451,5959,58,20
299,333929,50807,56,61
300,123823,57454,35,65
301,324258,51749,40,54
302,245260,92713,27,61
303,58896,28005,38,29
304,215803,45422,48,19
305,498690,60986,43,39
306,219753,67558,48,43
307,306206,29291,37,68
